Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Namespace(ape=False, batch_size=32, dataset='modelnet40', deg=False, delta=True, dimkqv=32, dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='NLA2_S_smooth', k=20, lr=0.001, model='TransformerBaseline', model_path='', momentum=0.9, neighbors=False, no_cuda=False, num_points=1024, rpe=False, scale=False, seed=1, start_epoch=0, test_batch_size=16, use_sgd=True, visualize=False)
Using GPU : 0 from 1 devices
Train 129, loss: 1.418810, train acc: 0.962093, train avg acc: 0.943120
Test 129, loss: 1.488990, test acc: 0.919368, test avg acc: 0.884291
Train 130, loss: 1.410724, train acc: 0.967276, train avg acc: 0.950249
Test 130, loss: 1.528653, test acc: 0.909643, test avg acc: 0.883169
Train 131, loss: 1.414335, train acc: 0.962093, train avg acc: 0.942001
Test 131, loss: 1.477009, test acc: 0.920583, test avg acc: 0.895959
Train 132, loss: 1.411035, train acc: 0.964736, train avg acc: 0.947803
Test 132, loss: 1.463201, test acc: 0.916937, test avg acc: 0.876890
Train 133, loss: 1.404604, train acc: 0.968394, train avg acc: 0.950196
Test 133, loss: 1.471342, test acc: 0.904781, test avg acc: 0.885494
Train 134, loss: 1.404522, train acc: 0.967276, train avg acc: 0.952000
Test 134, loss: 1.470226, test acc: 0.915721, test avg acc: 0.873297
Train 135, loss: 1.401497, train acc: 0.966972, train avg acc: 0.951617
Test 135, loss: 1.471275, test acc: 0.915721, test avg acc: 0.875593
Train 136, loss: 1.398310, train acc: 0.970427, train avg acc: 0.955490
Test 136, loss: 1.470797, test acc: 0.911264, test avg acc: 0.886948
Train 137, loss: 1.400917, train acc: 0.970224, train avg acc: 0.953058
Test 137, loss: 1.462737, test acc: 0.915721, test avg acc: 0.873215
Train 138, loss: 1.395289, train acc: 0.973272, train avg acc: 0.957912
Test 138, loss: 1.464383, test acc: 0.912075, test avg acc: 0.874552
Train 139, loss: 1.401413, train acc: 0.968089, train avg acc: 0.950110
Test 139, loss: 1.484788, test acc: 0.914100, test avg acc: 0.869953
Train 140, loss: 1.394023, train acc: 0.971341, train avg acc: 0.954669
Test 140, loss: 1.457006, test acc: 0.916126, test avg acc: 0.878244
Train 141, loss: 1.393149, train acc: 0.972561, train avg acc: 0.957225
Test 141, loss: 1.479420, test acc: 0.910859, test avg acc: 0.875581
Train 142, loss: 1.393559, train acc: 0.971748, train avg acc: 0.956708
Test 142, loss: 1.454530, test acc: 0.923420, test avg acc: 0.886663
Train 143, loss: 1.390276, train acc: 0.972358, train avg acc: 0.960251
Test 143, loss: 1.502571, test acc: 0.907618, test avg acc: 0.874285
Train 144, loss: 1.384045, train acc: 0.978354, train avg acc: 0.967455
Test 144, loss: 1.456205, test acc: 0.920583, test avg acc: 0.877203
Train 145, loss: 1.386698, train acc: 0.973780, train avg acc: 0.962308
Test 145, loss: 1.460336, test acc: 0.918963, test avg acc: 0.878663
Train 146, loss: 1.383585, train acc: 0.975915, train avg acc: 0.963504
Test 146, loss: 1.468140, test acc: 0.909238, test avg acc: 0.874506
Train 147, loss: 1.380970, train acc: 0.976016, train avg acc: 0.962144
Test 147, loss: 1.456065, test acc: 0.918558, test avg acc: 0.889744
Train 148, loss: 1.380494, train acc: 0.976321, train avg acc: 0.965522
Test 148, loss: 1.444760, test acc: 0.923825, test avg acc: 0.901203
Train 149, loss: 1.380493, train acc: 0.977236, train avg acc: 0.966573
Test 149, loss: 1.471906, test acc: 0.912480, test avg acc: 0.868012
Train 150, loss: 1.377859, train acc: 0.977337, train avg acc: 0.966845
Test 150, loss: 1.449044, test acc: 0.921799, test avg acc: 0.888703
Train 151, loss: 1.377239, train acc: 0.976321, train avg acc: 0.961642
Test 151, loss: 1.456969, test acc: 0.920583, test avg acc: 0.889756
Train 152, loss: 1.371037, train acc: 0.980285, train avg acc: 0.967770
Test 152, loss: 1.454853, test acc: 0.920583, test avg acc: 0.886076
Train 153, loss: 1.373778, train acc: 0.979675, train avg acc: 0.969261
Test 153, loss: 1.439162, test acc: 0.930713, test avg acc: 0.898494
Train 154, loss: 1.368063, train acc: 0.982114, train avg acc: 0.972039
Test 154, loss: 1.457268, test acc: 0.920178, test avg acc: 0.884698
Train 155, loss: 1.370330, train acc: 0.979776, train avg acc: 0.970795
Test 155, loss: 1.462263, test acc: 0.915316, test avg acc: 0.889203
Train 156, loss: 1.372064, train acc: 0.978862, train avg acc: 0.966116
Test 156, loss: 1.455888, test acc: 0.915316, test avg acc: 0.889587
Train 157, loss: 1.375896, train acc: 0.977947, train avg acc: 0.967627
Test 157, loss: 1.459945, test acc: 0.916126, test avg acc: 0.878913
Train 158, loss: 1.369801, train acc: 0.980081, train avg acc: 0.969890
Test 158, loss: 1.445415, test acc: 0.919368, test avg acc: 0.882948
